<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.10	09:45:00	4102.88	4105.51	4101.92	4104.46	1718	0	15
2026.07.10	10:00:00	4104.46	4108.48	4104.24	4106.34	1646	0	15
2026.07.10	10:15:00	4106.44	4112.67	4106.23	4109.46	1848	0	15
2026.07.10	10:30:00	4109.46	4110.45	4106.23	4109.05	1541	0	15
2026.07.10	10:45:00	4109.05	4109.11	4104.44	4104.66	1668	0	15
2026.07.10	11:00:00	4104.66	4108.12	4104.45	4106.35	1684	0	15
2026.07.10	11:15:00	4106.35	4108.17	4100.05	4100.17	1850	0	15
2026.07.10	11:30:00	4100.18	4107.58	4096.16	4106.78	2291	0	15
2026.07.10	11:45:00	4106.74	4108.09	4102.13	4102.39	2146	0	15
2026.07.10	12:00:00	4102.39	4116.72	4101.03	4114.96	3150	0	15
2026.07.10	12:15:00	4115.16	4116.36	4103.36	4106.11	3474	0	15
2026.07.10	12:30:00	4106.25	4107.14	4097.66	4098.35	3576	0	15
2026.07.10	12:45:00	4098.44	4105.00	4098.01	4100.78	2601	0	15
2026.07.10	13:00:00	4100.78	4106.29	4098.62	4104.28	3865	0	15
2026.07.10	13:15:00	4104.30	4106.65	4085.61	4087.45	3685	0	15
2026.07.10	13:30:00	4087.53	4102.58	4086.95	4098.46	5440	0	15
2026.07.10	13:45:00	4098.56	4105.42	4097.38	4100.00	4771	0	15
2026.07.10	14:00:00	4100.00	4103.60	4097.60	4100.15	4642	0	15
2026.07.10	14:15:00	4100.19	4109.08	4097.53	4105.49	4398	0	15
2026.07.10	14:30:00	4105.52	4107.91	4072.97	4099.32	6585	0	15
2026.07.10	14:45:00	4099.30	4107.71	4091.66	4092.87	5534	0	15
2026.07.10	15:00:00	4093.03	4100.99	4091.42	4097.58	4286	0	15
2026.07.10	15:15:00	4097.57	4107.75	4097.48	4102.16	4204	0	15
2026.07.10	15:30:00	4102.29	4107.00	4101.53	4106.38	4333	0	15
2026.07.10	15:45:00	4106.43	4113.46	4105.80	4112.97	3586	0	15
2026.07.10	16:00:00	4113.10	4114.89	4108.07	4110.25	3379	0	15
2026.07.10	16:15:00	4110.25	4114.55	4107.40	4114.45	2904	0	15
2026.07.10	16:30:00	4114.45	4115.46	4108.98	4109.07	2479	0	15
2026.07.10	16:45:00	4109.07	4109.77	4104.44	4104.44	2390	0	15
2026.07.10	17:00:00	4104.44	4105.62	4102.32	4103.94	3114	0	15
2026.07.10	17:15:00	4103.95	4106.90	4103.81	4105.68	2507	0	15
2026.07.10	17:30:00	4105.69	4106.90	4103.36	4103.86	2307	0	15
2026.07.10	17:45:00	4103.95	4105.20	4100.49	4100.68	2155	0	15
2026.07.10	18:00:00	4100.83	4105.11	4099.98	4104.72	2211	0	15
2026.07.10	18:15:00	4104.72	4104.99	4102.21	4102.98	2157	0	15
2026.07.10	18:30:00	4103.01	4103.79	4098.79	4099.03	2167	0	15
2026.07.10	18:45:00	4099.03	4101.62	4098.07	4101.19	1688	0	15
2026.07.10	19:00:00	4101.19	4102.39	4097.85	4101.67	1791	0	15
2026.07.10	19:15:00	4101.66	4103.29	4101.31	4101.78	1428	0	15
2026.07.10	19:30:00	4101.83	4103.56	4100.18	4102.52	1571	0	15
